date,low_price,expected_price,high_price
2026-04-23,73.16356977630564,77.96293127284471,82.76229276938379
2026-04-24,74.39497399434521,78.98191094833493,83.56884790232465
2026-04-25,73.29094372621316,78.05689023588687,82.82283674556058
2026-04-26,75.4557004391543,80.29629915782586,85.13689787649741
2026-04-27,73.57170649909943,78.33577043556,83.09983437202055
2026-04-28,75.00430977674759,79.94572592559952,84.88714207445145
2026-04-29,74.78328478451813,79.46083551973975,84.13838625496136
2026-04-30,75.15565199883635,79.85235006676814,84.54904813469993
2026-05-01,74.14466497369807,78.91303260656274,83.6814002394274
2026-05-02,73.37073734965762,78.21979890384573,83.06886045803384
2026-05-03,73.8251405182265,78.61747308577867,83.40980565333084
2026-05-04,73.69554482733801,78.63418760826409,83.57283038919016
2026-05-05,75.00315031592524,80.01327056338832,85.0233908108514
2026-05-06,75.81259874821212,80.51141393742209,85.21022912663206
2026-05-07,77.0554444560583,81.68691039852816,86.31837634099801
2026-05-08,77.43443040182655,82.00850121672022,86.58257203161389
2026-05-09,77.24167376169726,82.09251807734287,86.94336239298849
2026-05-10,77.64699038856418,82.32152623734171,86.99606208611925
2026-05-11,77.54067598019407,82.51661367153804,87.49255136288201
2026-05-12,78.01986188713457,82.88257545749471,87.74528902785485
2026-05-13,78.39832160072653,83.15445393110406,87.91058626148158
2026-05-14,78.21397367601992,83.24636472697748,88.27875577793503
2026-05-15,78.58076809527478,83.30769301449362,88.03461793371247
2026-05-16,78.4278153248739,83.06872239196721,87.70962945906052
2026-05-17,78.10512760362315,82.96791377245532,87.83069994128749
2026-05-18,77.88170733792397,82.80765755774371,87.73360777756345
2026-05-19,78.23618417706132,82.82216310574366,87.40814203442599
2026-05-20,77.97909518674973,82.72086726368583,87.46263934062193
2026-05-21,77.76298794553745,82.41606033768068,87.0691327298239
2026-05-22,77.3440235531297,82.08074434801634,86.81746514290298
2026-05-23,76.77219519189262,81.42476775881494,86.07734032573725
2026-05-24,76.03578848136422,80.93778181808321,85.8397751548022
2026-05-25,75.63523208943957,80.40805099435515,85.18086989927073
2026-05-26,75.15074406977902,80.09689354554959,85.04304302132016
2026-05-27,76.77468624776243,81.55443533377226,86.33418441978209
2026-05-28,73.79680520888977,78.54904037718103,83.3012755454723
2026-05-29,73.37706830364965,78.32816861351827,83.2792689233869
2026-05-30,72.7587145956494,77.63513807277931,82.51156154990923
2026-05-31,72.10985000996021,76.97962351407187,81.84939701818354
2026-06-01,71.19539635319262,76.32500838273958,81.45462041228654
2026-06-02,71.120217274825,75.95252901020697,80.78484074558895
2026-06-03,70.50578120233499,75.5240589876561,80.54233677297722
2026-06-04,70.19349614874085,74.94153276014288,79.6895693715449
2026-06-05,69.56899300345773,74.40906832740681,79.2491436513559
2026-06-06,68.69965626476294,73.59056337562659,78.48147048649024
2026-06-07,68.32356694618025,73.0514726379347,77.77937832968914
2026-06-08,67.48424573970635,72.54244089271023,77.60063604571411
2026-06-09,67.43852703646421,72.35772837999245,77.2769297235207
2026-06-10,67.25008285169142,72.1309939846769,77.0119051176624
2026-06-11,66.9349099427951,71.75253721902632,76.57016449525754
2026-06-12,66.46313313495065,71.43379569220072,76.40445824945078
2026-06-13,65.83714394230944,70.81260085369873,75.78805776508801
2026-06-14,65.41670904779019,70.48339369516009,75.55007834252999
2026-06-15,65.12683587926676,70.1764251156639,75.22601435206104
2026-06-16,65.02991779014847,70.1981815757523,75.36644536135613
2026-06-17,65.10085111141171,70.15696385229644,75.21307659318117
2026-06-18,65.04333196416744,69.93402622583217,74.8247204874969
2026-06-19,65.04296023790647,69.75035533627616,74.45775043464585
2026-06-20,64.30314688588103,69.22276093785463,74.14237498982823
2026-06-21,63.92410468717643,68.97701097459651,74.0299172620166
2026-06-22,63.676310517044676,68.72882842640708,73.78134633576948
2026-06-23,64.11769291450236,68.80124108044534,73.48478924638832
2026-06-24,63.69979515182293,68.78389520579856,73.86799525977418
2026-06-25,63.75969726718648,68.55478673645688,73.34987620572727
2026-06-26,63.57580319600173,68.34912225878367,73.1224413215656
2026-06-27,62.762472165977925,67.76877997716804,72.77508778835815
2026-06-28,62.40076546475436,67.47375262384145,72.54673978292854
2026-06-29,62.150929801269044,67.1700674094049,72.18920501754074
2026-06-30,62.39918112937035,67.19985842041694,72.00053571146354
2026-07-01,62.27403797707464,67.13773207505159,72.00142617302853
